harvest_measurement_id:r2,experiment_name,plot_name,plot_side,block,harvest_name,date,year,system_code,plant_part,crop,measurement_amount,measurement_name,measurement_unit
50,century,8_8,W,3,summer,1995-08-24,1995,OMT,red_fruit,solanum_lycopersicum,69.289,fresh_wt,tonnes/ha
51,century,1_1,E,1,summer,1995-08-24,1995,LMT,red_fruit,solanum_lycopersicum,43.95,fresh_wt,tonnes/ha
52,century,1_1,W,1,summer,1995-08-24,1995,LMT,red_fruit,solanum_lycopersicum,45.7,fresh_wt,tonnes/ha
53,century,1_3,E,1,summer,1996-08-23,1996,CMT,red_fruit,solanum_lycopersicum,50.855,fresh_wt,tonnes/ha
54,century,1_3,W,1,summer,1996-08-23,1996,CMT,red_fruit,solanum_lycopersicum,54.726,fresh_wt,tonnes/ha
55,century,2_2,E,1,summer,1996-08-23,1996,TR,red_fruit,solanum_lycopersicum,55.901,fresh_wt,tonnes/ha
56,century,2_2,W,1,summer,1996-08-23,1996,TR,red_fruit,solanum_lycopersicum,56.227,fresh_wt,tonnes/ha
57,century,2_3,E,1,summer,1996-08-16,1996,OMT,red_fruit,solanum_lycopersicum,42.613,fresh_wt,tonnes/ha
58,century,2_3,W,1,summer,1996-08-16,1996,OMT,red_fruit,solanum_lycopersicum,41.79,fresh_wt,tonnes/ha
59,century,2_5,E,1,summer,1996-08-16,1996,CWT,red_fruit,solanum_lycopersicum,48.262,fresh_wt,tonnes/ha
60,century,2_5,W,1,summer,1996-08-16,1996,CWT,red_fruit,solanum_lycopersicum,50.555,fresh_wt,tonnes/ha
61,century,4_5,E,2,summer,1996-08-16,1996,CMT,red_fruit,solanum_lycopersicum,53.074,fresh_wt,tonnes/ha
62,century,4_5,W,2,summer,1996-08-16,1996,CMT,red_fruit,solanum_lycopersicum,54.469,fresh_wt,tonnes/ha
63,century,5_3,E,2,summer,1996-08-16,1996,CWT,red_fruit,solanum_lycopersicum,45.061,fresh_wt,tonnes/ha
64,century,5_3,W,2,summer,1996-08-16,1996,CWT,red_fruit,solanum_lycopersicum,44.786,fresh_wt,tonnes/ha
65,century,5_7,E,3,summer,1996-08-28,1996,TR,red_fruit,solanum_lycopersicum,60.678,fresh_wt,tonnes/ha
66,century,5_7,W,3,summer,1996-08-28,1996,TR,red_fruit,solanum_lycopersicum,62.831,fresh_wt,tonnes/ha
67,century,6_3,E,2,summer,1996-08-28,1996,LMT,red_fruit,solanum_lycopersicum,61.511,fresh_wt,tonnes/ha
68,century,6_3,W,2,summer,1996-08-28,1996,LMT,red_fruit,solanum_lycopersicum,59.224,fresh_wt,tonnes/ha
69,century,6_4,E,2,summer,1996-08-16,1996,OMT,red_fruit,solanum_lycopersicum,69.093,fresh_wt,tonnes/ha
70,century,6_4,W,2,summer,1996-08-16,1996,OMT,red_fruit,solanum_lycopersicum,67.869,fresh_wt,tonnes/ha
71,century,6_6,E,3,summer,1996-08-23,1996,CWT,red_fruit,solanum_lycopersicum,47.189,fresh_wt,tonnes/ha
72,century,6_6,W,3,summer,1996-08-23,1996,CWT,red_fruit,solanum_lycopersicum,51.037,fresh_wt,tonnes/ha
73,century,6_7,E,3,summer,1996-08-28,1996,LMT,red_fruit,solanum_lycopersicum,53.339,fresh_wt,tonnes/ha
74,century,6_7,W,3,summer,1996-08-28,1996,LMT,red_fruit,solanum_lycopersicum,55.994,fresh_wt,tonnes/ha
75,century,6_8,E,3,summer,1996-08-22,1996,OMT,red_fruit,solanum_lycopersicum,42.582,fresh_wt,tonnes/ha
76,century,6_8,W,3,summer,1996-08-22,1996,OMT,red_fruit,solanum_lycopersicum,44.589,fresh_wt,tonnes/ha
